"playerid","Name.1","Team.1","G.1","AB.1","PA.1","H.1","X1B.1","X2B.1","X3B.1","HR.1","R.1","RBI.1","BB.1","IBB.1","SO.1","HBP.1","SF.1","SH.1","GDP.1","SB.1","CS.1","AVG.1","Name.2","Team.2","G.2","AB.2","PA.2","H.2","X1B.2","X2B.2","X3B.2","HR.2","R.2","RBI.2","BB.2","IBB.2","SO.2","HBP.2","SF.2","SH.2","GDP.2","SB.2","CS.2","AVG.2"
9927,"Brett Gardner","Yankees",81,275,320,85,70,6,4,5,56,29,37,1,50,4,2,2,3,25,6,0.309,"Brett Gardner","Yankees",69,202,249,47,30,14,3,0,41,18,42,0,51,1,1,3,3,22,3,0.233
185,"Johnny Damon","Tigers",78,292,336,80,51,21,2,6,54,28,40,1,46,1,1,2,3,7,1,0.274,"Johnny Damon","Tigers",67,247,277,66,46,15,3,2,27,23,29,1,44,1,0,0,2,4,0,0.267
242,"Paul Konerko","White Sox",80,291,338,87,51,16,0,20,50,63,39,4,53,3,5,0,7,0,0,0.299,"Paul Konerko","White Sox",69,257,293,84,50,14,1,19,39,48,33,3,57,2,1,0,2,0,1,0.327
243,"Carlos Lee","Astros",86,329,355,79,53,13,1,12,35,45,22,1,36,1,3,0,12,1,3,0.24,"Carlos Lee","Astros",71,276,294,70,42,16,0,12,32,44,15,0,23,2,1,0,8,2,0,0.254
319,"Adam Dunn","Nationals",88,320,366,92,42,26,2,22,51,59,40,6,108,4,2,0,2,0,0,0.288,"Adam Dunn","Nationals",70,238,282,53,27,10,0,16,34,44,37,4,91,5,2,0,8,0,1,0.223
443,"Juan Pierre","White Sox",86,339,384,87,77,9,1,0,46,14,24,0,25,11,0,10,5,32,11,0.257,"Juan Pierre","White Sox",74,312,350,92,80,9,2,1,50,33,21,0,22,10,2,5,3,36,7,0.295
454,"Juan Uribe","Giants",81,283,319,71,43,15,1,12,39,50,29,2,53,2,5,0,11,1,2,0.251,"Juan Uribe","Giants",67,238,256,58,36,9,1,12,25,35,16,4,39,2,0,0,9,0,0,0.244
470,"Brandon Inge","Tigers",84,299,339,79,49,22,2,6,21,39,36,4,72,1,3,0,8,1,2,0.264,"Brandon Inge","Tigers",60,215,241,48,32,6,3,7,26,31,18,0,62,4,4,0,4,3,1,0.223
520,"Alex Gonzalez","Blue Jays",85,328,348,85,42,25,1,17,47,50,17,0,65,1,2,0,9,1,0,0.259,"Alex Gonzalez","Braves",72,267,292,64,39,17,2,6,27,38,14,2,53,6,2,3,7,0,2,0.24
525,"Derrek Lee","Cubs",85,322,371,75,52,13,0,10,42,36,45,1,82,2,2,0,12,1,2,0.233,"Derrek Lee","- - -",63,225,255,67,36,22,0,9,38,44,28,0,52,0,2,0,11,0,1,0.298
607,"Raul Ibanez","Phillies",85,292,337,71,43,18,3,7,36,39,39,5,53,0,6,0,10,2,2,0.243,"Raul Ibanez","Phillies",70,269,299,83,53,19,2,9,39,44,29,6,55,0,1,0,5,2,1,0.309
639,"Adrian Beltre","Red Sox",85,324,349,107,67,26,1,13,44,55,20,0,54,2,3,0,16,1,1,0.33,"Adrian Beltre","Red Sox",69,265,292,82,43,23,1,15,40,47,20,10,28,3,4,0,9,1,0,0.309
656,"Cesar Izturis","Orioles",81,251,273,60,51,8,0,1,25,14,14,1,28,3,1,4,7,7,5,0.239,"Cesar Izturis","Orioles",69,222,240,49,43,5,1,0,17,14,11,0,25,3,1,3,4,4,0,0.221
719,"Casey Blake","Dodgers",79,274,313,71,44,17,1,9,30,36,29,1,66,5,2,3,4,0,4,0.259,"Casey Blake","Dodgers",67,235,258,55,36,11,0,8,26,28,19,2,72,3,1,0,4,0,0,0.234
731,"Torii Hunter","Angels",86,309,361,92,53,24,0,15,51,62,42,3,56,5,5,0,10,7,10,0.298,"Torii Hunter","Angels",66,264,285,69,49,12,0,8,25,28,19,3,50,2,0,0,12,2,2,0.261
745,"David Ortiz","Red Sox",74,251,305,66,27,21,0,18,46,57,50,8,74,1,3,0,7,0,1,0.263,"David Ortiz","Red Sox",71,267,301,74,44,15,1,14,40,45,32,6,71,1,1,0,5,0,0,0.277
778,"Vladimir Guerrero","Rangers",83,323,354,103,68,14,1,20,55,75,21,5,30,5,5,0,7,4,3,0.319,"Vladimir Guerrero","Rangers",69,270,289,75,53,13,0,9,28,40,14,0,30,4,1,0,12,0,2,0.278
791,"Brandon Phillips","Reds",89,367,405,108,70,24,2,12,66,30,30,0,50,2,0,6,9,10,8,0.294,"Brandon Phillips","Reds",66,259,282,64,46,9,3,6,34,29,16,1,33,6,1,0,5,6,4,0.247
826,"Derek Jeter","Yankees",86,365,404,100,74,17,1,8,60,43,33,1,54,4,1,1,10,9,3,0.274,"Derek Jeter","Yankees",71,298,335,79,62,13,2,2,51,24,30,3,52,5,2,0,12,9,2,0.265
847,"Alfonso Soriano","Cubs",82,268,302,72,33,22,2,15,44,44,29,0,69,2,2,1,5,4,0,0.269,"Alfonso Soriano","Cubs",65,228,246,56,28,18,1,9,23,35,16,3,54,1,1,0,7,1,1,0.246
914,"Brennan Boesch","Tigers",65,243,267,83,49,19,3,12,34,49,21,2,47,2,1,0,2,2,0,0.342,"Brennan Boesch","Tigers",68,221,245,36,27,7,0,2,15,18,19,3,52,3,2,0,3,5,1,0.163
941,"Miguel Tejada","Orioles",84,348,372,96,75,14,0,7,34,35,14,3,34,7,3,0,12,0,0,0.276,"Miguel Tejada","- - -",72,288,309,75,55,12,0,8,37,36,16,0,33,4,0,1,4,2,0,0.26
945,"Bobby Abreu","Angels",88,331,385,85,54,20,1,10,50,47,49,1,74,1,4,0,10,15,6,0.257,"Bobby Abreu","Angels",66,242,282,61,30,21,0,10,38,31,38,2,58,1,1,0,3,9,4,0.252
950,"Marlon Byrd","Cubs",87,331,359,105,69,27,0,9,47,40,14,0,49,12,2,0,4,4,1,0.317,"Marlon Byrd","Cubs",65,249,271,65,48,12,2,3,37,26,17,1,49,5,0,0,8,1,0,0.261
1101,"Ichiro Suzuki","Mariners",88,362,395,118,96,17,2,3,35,24,28,7,46,2,1,2,2,22,7,0.326,"Ichiro Suzuki","Mariners",74,318,337,96,79,13,1,3,39,19,17,6,40,1,0,1,1,20,2,0.302
1152,"J.D. Drew","Red Sox",78,262,301,72,41,19,2,10,46,42,34,1,64,2,3,0,2,2,1,0.275,"J.D. Drew","Red Sox",61,216,245,50,33,5,0,12,23,26,26,2,41,2,1,0,10,1,0,0.231
1176,"Placido Polanco","Phillies",62,261,281,83,63,15,0,5,39,27,12,0,25,3,5,0,8,3,0,0.318,"Placido Polanco","Phillies",70,293,321,82,67,12,2,1,37,25,20,1,22,4,3,1,6,2,0,0.28
1177,"Albert Pujols","Cardinals",87,321,385,99,56,21,1,21,55,64,60,23,44,1,3,0,16,9,3,0.308,"Albert Pujols","Cardinals",72,266,315,84,45,18,0,21,60,54,43,15,32,3,3,0,7,5,1,0.316
1201,"Carl Crawford","Rays",85,330,371,106,68,21,6,11,70,50,31,2,54,2,3,2,1,31,8,0.321,"Carl Crawford","Rays",69,270,292,78,54,9,7,8,40,40,15,1,50,1,2,1,1,16,2,0.289
1213,"Aubrey Huff","Giants",85,305,359,90,51,19,3,17,55,54,43,2,40,5,6,0,7,3,0,0.295,"Aubrey Huff","Giants",72,264,309,75,48,16,2,9,45,32,40,3,51,4,1,0,10,4,0,0.284
1260,"Ryan Ludwick","Cardinals",71,264,296,72,40,19,2,11,40,42,23,0,61,4,3,0,4,0,3,0.273,"Ryan Ludwick","- - -",65,226,257,51,37,8,0,6,23,27,25,0,60,4,2,0,9,0,1,0.226
1274,"Alex Rodriguez","Yankees",82,312,359,84,48,20,2,14,46,70,38,1,56,2,7,0,6,2,2,0.269,"Alex Rodriguez","Yankees",55,210,236,57,32,9,0,16,28,55,21,0,42,1,4,0,1,2,1,0.271
1281,"Mark Teixeira","Yankees",88,342,400,87,49,21,0,17,63,60,50,3,59,7,1,0,11,0,1,0.254,"Mark Teixeira","Yankees",70,259,312,67,36,15,0,16,50,48,43,3,63,6,4,0,4,0,0,0.259
1286,"Michael Young","Rangers",87,362,397,109,71,24,2,12,57,54,30,3,62,1,4,0,12,3,2,0.301,"Michael Young","Rangers",70,294,321,77,55,12,1,9,42,37,20,1,53,0,7,0,9,1,0,0.262
1307,"Orlando Hudson","Twins",71,288,322,81,61,13,3,4,49,24,28,0,43,3,1,2,10,6,2,0.281,"Orlando Hudson","Twins",55,209,237,52,37,11,2,2,31,13,22,0,44,1,2,3,4,4,1,0.249
1326,"Vernon Wells","Blue Jays",87,328,357,87,41,26,1,19,46,49,25,3,53,2,2,0,9,4,2,0.265,"Vernon Wells","Blue Jays",70,262,289,74,42,18,2,12,33,39,25,2,31,1,1,0,9,2,2,0.282
1327,"Jayson Werth","Phillies",84,294,346,83,42,27,1,13,52,49,40,5,83,4,8,0,7,5,1,0.282,"Jayson Werth","Phillies",72,260,306,81,47,19,1,14,54,36,42,1,64,3,1,0,4,8,2,0.312
1488,"Andres Torres","Giants",77,263,309,74,39,24,4,7,46,29,40,2,61,1,0,5,5,17,4,0.281,"Andres Torres","Giants",62,244,261,62,30,19,4,9,38,34,16,0,67,1,0,0,5,9,3,0.254
1491,"Ty Wigginton","Orioles",83,302,345,76,49,13,0,14,32,45,32,2,53,7,3,1,12,0,1,0.252,"Ty Wigginton","Orioles",71,279,304,68,43,16,1,8,31,31,18,1,63,1,6,0,11,0,0,0.244
1534,"Michael Cuddyer","Twins",84,322,359,86,54,20,3,9,50,40,33,4,49,1,3,0,14,2,1,0.267,"Michael Cuddyer","Twins",73,287,316,79,55,17,2,5,43,41,25,3,44,3,1,0,12,5,2,0.275
1555,"Marco Scutaro","Red Sox",85,357,400,101,75,22,0,4,52,28,34,1,41,3,2,4,11,2,3,0.283,"Marco Scutaro","Red Sox",65,275,295,73,50,16,0,7,40,28,19,0,30,0,1,0,2,3,1,0.265
1580,"Chone Figgins","Mariners",87,319,378,75,63,11,1,0,38,22,48,0,66,1,5,5,10,24,4,0.235,"Chone Figgins","Mariners",74,283,324,81,69,10,1,1,24,13,26,0,48,2,1,12,10,18,11,0.286
1617,"Lyle Overbay","Blue Jays",88,312,351,78,48,18,2,10,43,31,35,4,74,2,1,0,5,1,0,0.25,"Lyle Overbay","Blue Jays",66,222,257,52,23,19,0,10,32,36,32,3,57,1,2,0,4,0,0,0.234
1677,"Shane Victorino","Phillies",86,352,388,88,54,12,8,14,54,48,29,1,46,6,1,0,3,17,2,0.25,"Shane Victorino","Phillies",61,235,260,64,44,14,2,4,30,21,24,4,33,1,0,0,4,17,4,0.272
1736,"Jose Reyes","Mets",77,324,349,89,62,15,6,6,52,33,19,3,41,2,2,2,5,19,2,0.275,"Jose Reyes","Mets",56,239,254,70,47,14,4,5,31,21,12,1,22,0,1,2,3,11,8,0.293
1738,"Jhonny Peralta","Indians",82,306,341,77,47,22,2,6,32,39,29,1,63,1,5,0,7,1,0,0.252,"Jhonny Peralta","- - -",66,245,274,60,43,8,0,9,28,42,24,1,40,0,5,0,4,0,0,0.245
1744,"Miguel Cabrera","Tigers",83,312,359,108,58,27,1,22,64,77,43,8,52,1,3,0,11,2,3,0.346,"Miguel Cabrera","Tigers",67,236,289,72,38,18,0,16,47,49,46,24,43,2,5,0,6,1,0,0.305
1845,"Jonny Gomes","Reds",83,278,312,77,47,17,2,11,36,60,19,2,70,7,8,0,1,2,3,0.277,"Jonny Gomes","Reds",65,233,259,59,44,7,1,7,41,26,20,1,53,5,1,0,3,3,0,0.253
1849,"Rickie Weeks","Brewers",88,361,422,97,64,16,2,15,56,53,42,0,101,17,2,0,1,6,3,0.269,"Rickie Weeks","Brewers",72,290,332,78,46,16,2,14,56,30,34,0,83,8,0,0,4,5,1,0.269
1857,"Joe Mauer","Twins",77,290,329,85,56,24,1,4,47,35,35,4,32,1,3,0,15,1,2,0.293,"Joe Mauer","Twins",60,220,255,82,58,19,0,5,41,40,30,10,21,2,3,0,4,0,2,0.373
1873,"Matt Holliday","Cardinals",86,327,367,98,56,25,1,16,52,51,36,5,53,3,1,0,6,6,1,0.3,"Matt Holliday","Cardinals",72,269,308,88,56,20,0,12,43,52,33,5,40,5,1,0,7,3,4,0.327
1887,"Jose Bautista","Blue Jays",88,304,366,72,29,17,2,24,55,56,54,2,68,6,2,0,4,3,2,0.237,"Jose Bautista","Blue Jays",73,265,317,76,27,18,1,30,54,68,46,0,48,4,2,0,6,6,0,0.287
1904,"Adam LaRoche","Diamondbacks",82,296,332,75,42,19,1,13,44,55,33,2,90,2,1,0,5,0,0,0.253,"Adam LaRoche","Diamondbacks",69,264,283,71,40,18,1,12,31,45,15,2,82,1,3,0,3,0,1,0.269
1908,"Adrian Gonzalez","Padres",86,319,375,96,58,20,0,18,49,56,51,17,61,1,2,2,6,0,0,0.301,"Adrian Gonzalez","Padres",74,272,318,80,54,13,0,13,38,45,42,18,53,1,2,0,9,0,0,0.294
